Var0,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9
0.573839662,0.424870466,0.403846154,0.625,0.315068493,0.573267037,0.150726855,0.793103448,0.724137931,0.430575714
0.109704641,0.772020725,0.734615385,0.25,0.520547945,0.394852296,0.403213466,0,0,0.579342042
0.105485232,0.766839378,0.734615385,0.2375,0.794520548,0.386077801,0.391736802,0.034482759,0,0.595549105
0.105485232,0.766839378,0.730769231,0.2375,1,0.380228137,0.384085692,0.103448276,0.025862069,0.60208031
0.071729958,0.580310881,0.553846154,0.75,0.383561644,0.628838842,0.066564652,0.689655172,0.75862069,0.232946299
0.042194093,0.461139896,0.442307692,0.525,0.315068493,0.444574437,0.720734507,0.793103448,0.603448276,0.194000968
0.063291139,0.720207254,0.684615385,0.1,0.931506849,0.69026031,0.208110176,0,0,0.524189647
0.033755274,0,0.873076923,1,0.109589041,0.122842937,0.812547819,0.5,0.663793103,0.469279149
0.063291139,0,0.911538462,0.55,0.109589041,0.22521205,0.961744453,0.534482759,0.534482759,0.375423319
0.70464135,0,0.538461538,0.675,0.109589041,0.546943551,0.311400153,0.655172414,0.534482759,0.514513788
0.033755274,0.549222798,0.523076923,0.6,0.383561644,0.125767768,0.927314461,0.844827586,0.706896552,0.213594582
0.046413502,0.564766839,0.534615385,0.4125,0.178082192,0.175489909,1,0.818965517,0.655172414,0.262215772
0.021097046,0.67357513,0.642307692,0.6875,0.109589041,0.078970459,0.747513389,0.879310345,0.810344828,0.343009192
0.915611814,0,0,0.925,0.109589041,0.734132787,0.192807957,0.586206897,0.586206897,0.404450895
1,0,0,0.375,0.178082192,0.892073706,0.342004591,0.5,0.387931034,0.368892114
0.092827004,0.601036269,0.573076923,0.1875,0.726027397,0.716583796,0.303749044,0.810344828,0.594827586,0.407837446
0.067510549,0,0.919230769,0.5,0.109589041,0.859900556,0.166029074,0.413793103,0.25862069,0.26850508
0.666666667,0.549222798,0.523076923,0.575,0.452054795,0.122842937,0.47972456,0.862068966,0.836206897,0.576197388
0.729957806,0,0.55,0.1,0.383561644,0.602515355,0.625095639,0.706896552,0.486206897,0.77672956
0.670886076,0.502590674,0,0.7375,0.315068493,0.655162328,0.169854629,0.517241379,0.49137931,0.291243348
0.708860759,0.518134715,0,0.45,0.383561644,0.734132787,0.246365723,0.689655172,0.5,0.304305757
0.729957806,0,0.55,0.725,0.383561644,0.231061714,0.625095639,0.448275862,0.448275862,0.45960329
0.046413502,0.932642487,0,0.2875,0.452054795,0.772155601,0.445294568,0,0,0.03217223
0.037974684,0.922279793,0,0.4,0.452054795,0.739982451,0.41469013,0.620689655,0.448275862,0
0.021097046,0.67357513,0.642307692,0.175,0.452054795,0.511845569,0.552410099,0,0,0.472423803
0.012658228,0.663212435,0.630769231,0.2875,0.520547945,0.476747587,0.514154552,0.818965517,0.568965517,0.391630382
0.721518987,0.575129534,0.546153846,0.7125,0.383561644,0.219362387,0.173680184,0.862068966,0.862068966,0.60208031
0.666666667,0.549222798,0.523076923,0.6,0.109589041,0.476747587,0.035960214,0.913793103,0.862068966,0.537252056
0.679324895,0.554404145,0.526923077,0.5125,0.109589041,0.49722141,0.055087988,0.551724138,0.103448276,0.582486696
0.746835443,0,0.619230769,0.5875,0.109589041,0.418250951,0.445294568,0.74137931,0.75862069,0.579342042
0.776371308,0,0.630769231,0.375,0.04109589,0.473822755,0.510328998,0.827586207,0.689655172,0.692549589
0.894514768,0,0.684615385,0.875,0.109589041,0.22521205,0.307574598,0.689655172,0.836206897,0.647314949
0.966244726,0,0.719230769,0.3875,0.178082192,0.339280491,0.445294568,0.853448276,0.736206897,0.857764877
0.578059072,0.461139896,0.442307692,0.525,0.315068493,0.149166423,0.713083397,0.913793103,0.827586207,0.443396226
0,0.865284974,0.823076923,0.825,0.109589041,0,0.445294568,0.948275862,0.862068966,0.417513304
0.582278481,0.512953368,0.488461538,0.3,0.589041096,0.298332846,0.571537873,0.887931034,0.767241379,0.637397194
0.485232068,0.393782383,0.373076923,0.425,0.246575342,0.371453641,0.690130069,0.793103448,0.586206897,0.385099178
0.11814346,0.777202073,0,0.275,0.520547945,0.921322024,0.338179036,0.5,0,0.025882922
0.088607595,0,0.946153846,0.175,0.178082192,0.956420006,0.250191278,0.655172414,0.396551724,0.430575714
0.080168776,0,0.934615385,0.25,0.452054795,0.918397192,0.21958684,0.724137931,0.637931034,0.401306241
0.033755274,0.917098446,0.873076923,0.6125,0.452054795,0.1286926,0.28462127,0.086206897,0,0.446782777
0.071729958,0.730569948,0.696153846,0.925,0.452054795,0.260310032,0.16220352,0.793103448,0.775862069,0.394775036
0.097046414,0.756476684,0.723076923,0.5375,0.452054795,0.35390465,0.265493497,0.448275862,0.310344828,0.394775036
0.64978903,0.544041451,0,0.5625,0.109589041,0.441649605,0.598316756,0.827586207,0.672413793,0.252298016
0.679324895,0.554404145,0,0.325,0.109589041,0.500146242,0.667176741,0.103448276,0,0.333333333
0.76371308,0.652849741,0,0.625,0.109589041,0.447499269,0.368783474,0.603448276,0.482758621,0.352685051
0.603375527,0.476683938,0.453846154,0.5875,0.315068493,0.511845569,0.146901301,0.879310345,0.75862069,0.488630866
0.632911392,0.487046632,0.465384615,0.35,0.315068493,0.573267037,0.211935731,0.862068966,0.706896552,0.624576681
0.82278481,0,0.653846154,0,0.109589041,0.56156771,0.632746748,0,0,1
0.797468354,0,0.642307692,0.175,0.109589041,0.514770401,0.579188982,0.74137931,0.379310345,0.857764877
0.772151899,0,0.626923077,0.35,0.315068493,0.462123428,0.517980107,0.810344828,0.689655172,0.689404935
0.864978903,0.704663212,0,0.8125,0.452054795,0.181339573,0.407039021,0.724137931,0.706896552,0.359216255
0.924050633,0.735751295,0,0.4125,0.452054795,0.272009359,0.525631217,0.275862069,0.172413793,0.466134494
0.725738397,0,0.546153846,0.725,0.383561644,0.596665692,0.150726855,0.827586207,0.724137931,0.517658442
0.780590717,0,0.573076923,0.325,0.246575342,0.710734133,0.261667942,0.706896552,0.715517241,0.68287373
0.092827004,1,0,0.6,0.520547945,0.330505996,0.678653405,0.793103448,0.517241379,0.048379294
0.717299578,0.569948187,0,0.3625,0.383561644,0.573267037,0.475899005,0.75862069,0.344827586,0.346153846
0.742616034,0.642487047,0,0.5625,0.452054795,0.403626791,0.449120122,0.75862069,0.5,0.300919207
0.025316456,0.678756477,0.646153846,0.7125,0.109589041,0.535244223,0.120122418,0.862068966,0.844827586,0.22327044
0.012658228,0.663212435,0.630769231,0.9625,0.109589041,0.470897923,0.058913542,0.827586207,0.775862069,0.297774552
0.594936709,0,0.45,0.5625,0.315068493,0.488446914,0.605967865,0.655172414,0.482758621,0.375423319
0.637130802,0,0.465384615,0.2125,0.178082192,0.584966364,0.720734507,0.775862069,0.49137931,0.550072569
0.683544304,0.554404145,0,0.625,0.383561644,0.505995905,0.399387911,0.862068966,0.74137931,0.26850508
0.64978903,0.538860104,0,0.8875,0.315068493,0.435799942,0.322876817,0.793103448,0.844827586,0.320270924
0.540084388,0.445595855,0.426923077,0.4375,0.109589041,0.365603978,0.571537873,0.931034483,0.689655172,0.488630866
0.092827004,0,0.953846154,0.1875,0.520547945,0.973968997,0.16220352,0.724137931,0.534482759,0.440251572
0.097046414,0,0.961538462,0.1,0.520547945,0.997367651,0.181331293,0.620689655,0.482758621,0.495162071
0.122362869,0,1,0.2875,0.589041096,0.441649605,0.713083397,0.724137931,0.586206897,0.559990324
0.772151899,0.658031088,0.630769231,0.6375,0.109589041,0.038022814,0.315225708,0.068965517,0,0.705611998
0.839662447,0.694300518,0,0.775,0.109589041,0.140391927,0.560061209,0.896551724,0.75862069,0.355829705
